"model";"code";"marque";"deleted_at";"created_at";"updated_at";"famille_article_id"
"MOTEUR GDM2 3-9V";"311005";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"311"
"MOTEUR GDM7 12V";"311006";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"311"
"MOTEUR NEMAR 17 HD 34007";"311007";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"311"
"MOTEUR PAS A PAS";"311008";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"311"
"MOTEUR PAS A PAS + CERVEAU";"311009";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"311"
"MOTEUR TROMP EN PLAST";"218029";NULL;NULL;"2023-12-12 03:21:10";"2023-12-12 03:21:10";"218"
"MOTEUR TROMPET 150W DR 006";"218035";NULL;NULL;"2023-12-12 03:21:10";"2023-12-12 03:21:10";"218"
"MOTEUR TROMPET 180W PQT04";"248011";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET 300W DR002C SOUND BASSE";"248003";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET EN FER 120W DR-012";"248004";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET EN FER 150W IMC";"248012";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET EN FER 160W DR-002C";"248006";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET EN FER 200W PTQ04";"248005";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET EN FER 300W IMC";"248015";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET EN FER 300W RL-443 / DR-006/DR-0";"248007";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
